id,Name,Price,Rating,Reviews,Mileage,Location,Price_change,Deals,Model
56,2023 Acura MDX A-Spec,50500,4.7,1842,7902,"Palatine, IL",193,Great Deal,Acura Certified
57,2021 Mercedes-Benz AMG GLE 53 Base,71988,4.8,747,36093,"Tiverton, RI",2000,Good Deal,Mercedes-Benz Certified
58,2023 Subaru Ascent Touring 7-Passenger,42404,0,20,4336,"Brockport, NY",300,Good Deal,Subaru Certified
59,2020 BMW i8 Base,98995,4.4,545,13577,"Los Angeles, CA",1000,Fair Deal,BMW Certified
60,2020 Toyota Tacoma SR,31647,4.7,1145,28271,"Milford, MA",331,Good Deal,Toyota Certified
61,2018 Porsche 718 Cayman Base,59227,4.8,268,13358,"Indianapolis, IN",0,Good Deal,Porsche Certified
62,2022 Chevrolet Tahoe Z71,65595,0,3,19067,"Harrisburg, PA",400,Good Deal,Chevrolet Certified
63,2022 Acura RDX Technology Package,30997,2.9,544,44925,"Milford, CT",2480,Good Deal,Acura Certified
64,2023 BMW M440 Gran Coupe M440i Gran Coupe,61829,3.4,2731,3411,"Miami, FL",919,Fair Deal,BMW Certified
65,2024 Porsche Cayenne S,115996,4.9,119,817,"North Bethesda, MD",1001,Great Deal,Porsche Certified
66,2020 Mercedes-Benz GLE 450 Base,51795,4.2,343,35672,"Devon, PA",0,Great Deal,Mercedes-Benz Certified
67,2021 Toyota 4Runner Nightshade,40989,4.7,6499,44196,"Milwaukee, WI",390,Good Deal,Toyota Certified
68,2022 Subaru Forester Touring,34980,4.8,128,22751,"Greenwood, IN",0,Good Deal,Subaru Certified
69,2014 Porsche Cayman Base,45500,4.9,841,15209,"Westmont, IL",1500,Great Deal,Porsche Certified
70,2021 Jeep Wrangler Unlimited Sahara Altitude,42500,4.6,4510,30129,"Nanuet, NY",200,Fair Deal,Jeep Certified
71,2022 Toyota 4Runner SR5,34698,4.6,4388,45158,"Centennial, CO",0,Great Deal,Toyota Certified
72,2023 Kia Telluride SX-Prestige X-Line,50495,4.6,559,2680,"Orland Hills, IL",304,Good Deal,Kia Certified
73,2023 BMW X6 xDrive40i,63426,4.2,881,19168,"Nashua, NH",769,Great Deal,BMW Certified
74,2020 Audi Q7 55 Premium,39993,4.9,1409,22826,"Vienna, VA",2001,Great Deal,Audi Certified
75,2022 Honda CR-V EX-L,26301,2.9,1668,44354,"Florence, KY",1971,Good Deal,Honda Certified
76,2023 Toyota 4Runner Limited,51382,4.4,1683,4058,"Burnsville, MN",147,Fair Deal,Toyota Certified
77,2023 Acura MDX A-Spec,50500,4.7,1842,7902,"Palatine, IL",193,Great Deal,Acura Certified
78,2021 Mercedes-Benz AMG GLE 53 Base,71988,4.8,747,36093,"Tiverton, RI",2000,Good Deal,Mercedes-Benz Certified
79,2023 Subaru Ascent Touring 7-Passenger,42404,0,20,4336,"Brockport, NY",300,Good Deal,Subaru Certified
80,2020 BMW i8 Base,98995,4.4,545,13577,"Los Angeles, CA",1000,Fair Deal,BMW Certified
81,2020 Toyota Tacoma SR,31647,4.7,1145,28271,"Milford, MA",331,Good Deal,Toyota Certified
82,2018 Porsche 718 Cayman Base,59227,4.8,268,13358,"Indianapolis, IN",0,Good Deal,Porsche Certified
83,2022 Chevrolet Tahoe Z71,65595,0,3,19067,"Harrisburg, PA",400,Good Deal,Chevrolet Certified
84,2022 Acura RDX Technology Package,30997,2.9,544,44925,"Milford, CT",2480,Good Deal,Acura Certified
85,2021 Jeep Wrangler Unlimited Sahara Altitude,42500,4.6,4510,30129,"Nanuet, NY",200,Fair Deal,Jeep Certified
86,2022 Bentley Flying Spur V8,219000,2.6,174,4847,"Palmyra, NJ",0,Good Deal,Bentley Certified
87,2021 Genesis G70 2.0T,30977,0,2,931,"Fairfield, CT",3000,Good Deal,Genesis Certified
88,2023 BMW X5 M50i,81800,0,15,5729,"Shelby Township, MI",3200,Good Deal,BMW Certified
89,2021 Cadillac CT5 V-Series,42997,4.6,445,46714,"Chandler, AZ",2000,Fair Deal,Cadillac Certified
90,2019 Chevrolet Corvette Stingray,51744,4.7,1731,15561,"Waukesha, WI",251,Good Deal,Chevrolet Certified
91,2022 Porsche Macan Base,51881,4.9,3305,9556,"Riverside, CA",2000,Great Deal,Porsche Certified
92,2022 Toyota 4Runner SR5,34698,4.6,4388,45158,"Centennial, CO",0,Great Deal,Toyota Certified
93,2023 Volvo XC90 Recharge Plug-In Hybrid T8 Core Bright Theme,52895,4.8,802,28260,"Chamblee, GA",1000,Fair Deal,Volvo Certified
94,2023 Kia Telluride SX-Prestige X-Line,50495,4.6,559,2680,"Orland Hills, IL",304,Good Deal,Kia Certified
95,2021 Nissan Armada SV,26977,4.7,486,65208,"Surprise, AZ",500,Good Deal,Nissan Certified
96,2020 Audi Q7 55 Premium,39993,4.9,1409,22826,"Vienna, VA",2001,Great Deal,Audi Certified
97,2022 Honda CR-V EX-L,26301,2.9,1668,44354,"Florence, KY",1971,Good Deal,Honda Certified
98,2023 Toyota 4Runner Limited,51382,4.4,1683,4058,"Burnsville, MN",147,Fair Deal,Toyota Certified
99,2022 BMW X5 xDrive40i,57885,5.0,4761,21518,"Flemington, NJ",0,Good Deal,BMW Certified
100,2022 Porsche 911 Turbo,246450,4.9,652,8471,"Woodland Hills, CA",0,Great Deal,Porsche Certified
101,2023 Volkswagen Atlas 3.6L SE w/Technology,34900,4.6,1092,6743,"Alexandria, VA",500,Fair Deal,Volkswagen Certified
102,2023 BMW X6 xDrive40i,63426,4.2,881,19168,"Nashua, NH",769,Great Deal,BMW Certified
103,2021 BMW M5 Base,78411,4.8,1418,31093,"Westlake Village, CA",1500,Good Deal,BMW Certified
104,2022 Chevrolet Tahoe Z71,65595,0,3,19067,"Harrisburg, PA",400,Good Deal,Chevrolet Certified
105,2022 Acura RDX Technology Package,30997,2.9,544,44925,"Milford, CT",2480,Good Deal,Acura Certified
106,2023 BMW M440 Gran Coupe M440i Gran Coupe,61829,3.4,2731,3411,"Miami, FL",919,Fair Deal,BMW Certified
107,2024 Porsche Cayenne S,115996,4.9,119,817,"North Bethesda, MD",1001,Great Deal,Porsche Certified
108,2020 Mercedes-Benz GLE 450 Base,51795,4.2,343,35672,"Devon, PA",0,Great Deal,Mercedes-Benz Certified
109,2021 Toyota 4Runner Nightshade,40989,4.7,6499,44196,"Milwaukee, WI",390,Good Deal,Toyota Certified
110,2022 Subaru Forester Touring,34980,4.8,128,22751,"Greenwood, IN",0,Good Deal,Subaru Certified
111,2014 Porsche Cayman Base,45500,4.9,841,15209,"Westmont, IL",1500,Great Deal,Porsche Certified
112,2021 Jeep Wrangler Unlimited Sahara Altitude,42500,4.6,4510,30129,"Nanuet, NY",200,Fair Deal,Jeep Certified
113,2022 Toyota 4Runner SR5,34698,4.6,4388,45158,"Centennial, CO",0,Great Deal,Toyota Certified
114,2023 Kia Telluride SX-Prestige X-Line,50495,4.6,559,2680,"Orland Hills, IL",304,Good Deal,Kia Certified
115,2023 BMW X6 xDrive40i,63426,4.2,881,19168,"Nashua, NH",769,Great Deal,BMW Certified
116,2020 Audi Q7 55 Premium,39993,4.9,1409,22826,"Vienna, VA",2001,Great Deal,Audi Certified
117,2022 Honda CR-V EX-L,26301,2.9,1668,44354,"Florence, KY",1971,Good Deal,Honda Certified
118,2023 Toyota 4Runner Limited,51382,4.4,1683,4058,"Burnsville, MN",147,Fair Deal,Toyota Certified
119,2023 Acura MDX A-Spec,50500,4.7,1842,7902,"Palatine, IL",193,Great Deal,Acura Certified
120,2021 Mercedes-Benz AMG GLE 53 Base,71988,4.8,747,36093,"Tiverton, RI",2000,Good Deal,Mercedes-Benz Certified
121,2023 Subaru Ascent Touring 7-Passenger,42404,0,20,4336,"Brockport, NY",300,Good Deal,Subaru Certified
122,2020 BMW i8 Base,98995,4.4,545,13577,"Los Angeles, CA",1000,Fair Deal,BMW Certified
123,2020 Toyota Tacoma SR,31647,4.7,1145,28271,"Milford, MA",331,Good Deal,Toyota Certified
124,2018 Porsche 718 Cayman Base,59227,4.8,268,13358,"Indianapolis, IN",0,Good Deal,Porsche Certified
125,2022 Chevrolet Tahoe Z71,65595,0,3,19067,"Harrisburg, PA",400,Good Deal,Chevrolet Certified
126,2022 Acura RDX Technology Package,30997,2.9,544,44925,"Milford, CT",2480,Good Deal,Acura Certified
127,2023 Volvo XC90 Recharge Plug-In Hybrid T8 Core Bright Theme,52895,4.8,802,28260,"Chamblee, GA",1000,Fair Deal,Volvo Certified
128,2020 Audi Q7 55 Premium,39993,4.9,1409,22826,"Vienna, VA",2001,Great Deal,Audi Certified
129,2022 Honda CR-V EX-L,26301,2.9,1668,44354,"Florence, KY",1971,Good Deal,Honda Certified
130,2023 Toyota 4Runner Limited,51382,4.4,1683,4058,"Burnsville, MN",147,Fair Deal,Toyota Certified
131,2020 Cadillac XT6 Premium Luxury AWD,37896,4.9,221,27491,"Hodgkins, IL",241,Good Deal,Cadillac Certified
132,2023 Audi A5 Sportback 45 S Line Premium Plus,45795,4.7,915,3229,"Natick, MA",400,Great Deal,Audi Certified
133,2021 Toyota 4Runner Nightshade,40989,4.7,6499,44196,"Milwaukee, WI",390,Good Deal,Toyota Certified
134,2020 Mercedes-Benz GLS 450 Base 4MATIC,47630,4.5,861,49298,"Long Island City, NY",0,Great Deal,Mercedes-Benz Certified
135,2020 Mercedes-Benz S-Class S 450 4MATIC,56981,4.5,5457,29005,"Englewood, NJ",224,Good Deal,Mercedes-Benz Certified
136,2021 BMW M5 Base,78411,4.8,1418,31093,"Westlake Village, CA",1500,Good Deal,BMW Certified
137,2018 Porsche 718 Cayman Base,59227,4.8,268,13358,"Indianapolis, IN",0,Good Deal,Porsche Certified
138,2022 Chevrolet Tahoe Z71,65595,0,3,19067,"Harrisburg, PA",400,Good Deal,Chevrolet Certified
139,2022 BMW X5 sDrive40i,46988,4.7,888,15315,"Palm Springs, CA",1000,Good Deal,BMW Certified
140,2020 GMC Yukon XL SLT,45791,4.5,230,49154,"Everett, WA",0,Fair Deal,GMC Certified
141,2023 Kia Sportage SX,31995,4.8,428,5333,"Carrollton, TX",0,Good Deal,Kia Certified
142,2019 Porsche 911 Turbo S,210998,4.8,268,8440,"Indianapolis, IN",978,CPO Warrantied,Porsche Certified
143,2022 BMW M235 Gran Coupe i xDrive,45989,4.7,602,13279,"Boulder, CO",380,Fair Deal,BMW Certified
144,2023 BMW M440 Gran Coupe M440i Gran Coupe,61829,3.4,2731,3411,"Miami, FL",919,Fair Deal,BMW Certified
145,2024 Porsche Cayenne S,115996,4.9,119,817,"North Bethesda, MD",1001,Great Deal,Porsche Certified
146,2020 Mercedes-Benz GLE 450 Base,51795,4.2,343,35672,"Devon, PA",0,Great Deal,Mercedes-Benz Certified
147,2022 Acura RDX Technology Package,30997,2.9,544,44925,"Milford, CT",2480,Good Deal,Acura Certified
148,2023 BMW M440 Gran Coupe M440i Gran Coupe,61829,3.4,2731,3411,"Miami, FL",919,Fair Deal,BMW Certified
149,2024 Porsche Cayenne S,115996,4.9,119,817,"North Bethesda, MD",1001,Great Deal,Porsche Certified
150,2020 Mercedes-Benz GLE 450 Base,51795,4.2,343,35672,"Devon, PA",0,Great Deal,Mercedes-Benz Certified
151,2021 Toyota 4Runner Nightshade,40989,4.7,6499,44196,"Milwaukee, WI",390,Good Deal,Toyota Certified
152,2022 Subaru Forester Touring,34980,4.8,128,22751,"Greenwood, IN",0,Good Deal,Subaru Certified
153,2014 Porsche Cayman Base,45500,4.9,841,15209,"Westmont, IL",1500,Great Deal,Porsche Certified
154,2021 Jeep Wrangler Unlimited Sahara Altitude,42500,4.6,4510,30129,"Nanuet, NY",200,Fair Deal,Jeep Certified
155,2022 Toyota 4Runner SR5,34698,4.6,4388,45158,"Centennial, CO",0,Great Deal,Toyota Certified
156,2023 Kia Telluride SX-Prestige X-Line,50495,4.6,559,2680,"Orland Hills, IL",304,Good Deal,Kia Certified
157,2023 BMW X6 xDrive40i,63426,4.2,881,19168,"Nashua, NH",769,Great Deal,BMW Certified
158,2020 Audi Q7 55 Premium,39993,4.9,1409,22826,"Vienna, VA",2001,Great Deal,Audi Certified
159,2022 Honda CR-V EX-L,26301,2.9,1668,44354,"Florence, KY",1971,Good Deal,Honda Certified
160,2023 Toyota 4Runner Limited,51382,4.4,1683,4058,"Burnsville, MN",147,Fair Deal,Toyota Certified
161,2023 Acura MDX A-Spec,50500,4.7,1842,7902,"Palatine, IL",193,Great Deal,Acura Certified
162,2021 Mercedes-Benz AMG GLE 53 Base,71988,4.8,747,36093,"Tiverton, RI",2000,Good Deal,Mercedes-Benz Certified
163,2023 Subaru Ascent Touring 7-Passenger,42404,0,20,4336,"Brockport, NY",300,Good Deal,Subaru Certified
164,2020 BMW i8 Base,98995,4.4,545,13577,"Los Angeles, CA",1000,Fair Deal,BMW Certified
165,2020 Toyota Tacoma SR,31647,4.7,1145,28271,"Milford, MA",331,Good Deal,Toyota Certified
166,2018 Porsche 718 Cayman Base,59227,4.8,268,13358,"Indianapolis, IN",0,Good Deal,Porsche Certified
167,2022 Chevrolet Tahoe Z71,65595,0,3,19067,"Harrisburg, PA",400,Good Deal,Chevrolet Certified
168,2022 Acura RDX Technology Package,30997,2.9,544,44925,"Milford, CT",2480,Good Deal,Acura Certified
169,2021 Jeep Wrangler Unlimited Sahara Altitude,42500,4.6,4510,30129,"Nanuet, NY",200,Fair Deal,Jeep Certified
170,2022 Bentley Flying Spur V8,219000,2.6,174,4847,"Palmyra, NJ",0,Good Deal,Bentley Certified
171,2021 Genesis G70 2.0T,30977,0,2,931,"Fairfield, CT",3000,Good Deal,Genesis Certified
172,2023 BMW X5 M50i,81800,0,15,5729,"Shelby Township, MI",3200,Good Deal,BMW Certified
173,2021 Cadillac CT5 V-Series,42997,4.6,445,46714,"Chandler, AZ",2000,Fair Deal,Cadillac Certified
174,2019 Chevrolet Corvette Stingray,51744,4.7,1731,15561,"Waukesha, WI",251,Good Deal,Chevrolet Certified
175,2022 Porsche Macan Base,51881,4.9,3305,9556,"Riverside, CA",2000,Great Deal,Porsche Certified
176,2022 Toyota 4Runner SR5,34698,4.6,4388,45158,"Centennial, CO",0,Great Deal,Toyota Certified
177,2023 Volvo XC90 Recharge Plug-In Hybrid T8 Core Bright Theme,52895,4.8,802,28260,"Chamblee, GA",1000,Fair Deal,Volvo Certified
178,2023 Kia Telluride SX-Prestige X-Line,50495,4.6,559,2680,"Orland Hills, IL",304,Good Deal,Kia Certified
179,2021 Nissan Armada SV,26977,4.7,486,65208,"Surprise, AZ",500,Good Deal,Nissan Certified
180,2020 Audi Q7 55 Premium,39993,4.9,1409,22826,"Vienna, VA",2001,Great Deal,Audi Certified
181,2022 Honda CR-V EX-L,26301,2.9,1668,44354,"Florence, KY",1971,Good Deal,Honda Certified
182,2023 Toyota 4Runner Limited,51382,4.4,1683,4058,"Burnsville, MN",147,Fair Deal,Toyota Certified
183,2022 BMW X5 xDrive40i,57885,5.0,4761,21518,"Flemington, NJ",0,Good Deal,BMW Certified
184,2022 Porsche 911 Turbo,246450,4.9,652,8471,"Woodland Hills, CA",0,Great Deal,Porsche Certified
185,2023 Volkswagen Atlas 3.6L SE w/Technology,34900,4.6,1092,6743,"Alexandria, VA",500,Fair Deal,Volkswagen Certified
186,2023 BMW X6 xDrive40i,63426,4.2,881,19168,"Nashua, NH",769,Great Deal,BMW Certified
187,2021 BMW M5 Base,78411,4.8,1418,31093,"Westlake Village, CA",1500,Good Deal,BMW Certified
188,2022 Chevrolet Tahoe Z71,65595,0,3,19067,"Harrisburg, PA",400,Good Deal,Chevrolet Certified
189,2022 Acura RDX Technology Package,30997,2.9,544,44925,"Milford, CT",2480,Good Deal,Acura Certified
190,2022 Bentley Flying Spur V8,219000,2.6,174,4847,"Palmyra, NJ",0,Good Deal,Bentley Certified
191,2021 Genesis G70 2.0T,30977,0,2,931,"Fairfield, CT",3000,Good Deal,Genesis Certified
192,2023 BMW X5 M50i,81800,0,15,5729,"Shelby Township, MI",3200,Good Deal,BMW Certified
193,2022 Honda CR-V EX-L,26301,2.9,1668,44354,"Florence, KY",1971,Good Deal,Honda Certified
194,2023 Toyota 4Runner Limited,51382,4.4,1683,4058,"Burnsville, MN",147,Fair Deal,Toyota Certified
195,2022 BMW X5 xDrive40i,57885,5.0,4761,21518,"Flemington, NJ",0,Good Deal,BMW Certified
196,2022 Porsche 911 Turbo,246450,4.9,652,8471,"Woodland Hills, CA",0,Great Deal,Porsche Certified
197,2023 Volkswagen Atlas 3.6L SE w/Technology,34900,4.6,1092,6743,"Alexandria, VA",500,Fair Deal,Volkswagen Certified
198,2023 Jeep Grand Cherokee L Limited,43687,4.8,1957,6643,"Cumming, GA",308,Great Deal,Jeep Certified
199,2020 BMW X7 xDrive50i,57987,4.7,1430,33726,"Norwood, MA",1500,Great Deal,BMW Certified
200,2022 Kia K5 LXS,24645,4.6,1309,2288,"Wauwatosa, WI",157,Good Deal,Kia Certified
201,2023 Volkswagen Golf GTI 2.0T Autobahn,33995,4.9,2167,10091,"Neptune, NJ",505,Good Deal,Volkswagen Certified
202,2019 Porsche 911 Turbo S,210998,4.8,268,8440,"Indianapolis, IN",978,CPO Warrantied,Porsche Certified
203,2022 BMW M235 Gran Coupe i xDrive,45989,4.7,602,13279,"Boulder, CO",380,Fair Deal,BMW Certified
204,2023 BMW M440 Gran Coupe M440i Gran Coupe,61829,3.4,2731,3411,"Miami, FL",919,Fair Deal,BMW Certified
205,2024 Porsche Cayenne S,115996,4.9,119,817,"North Bethesda, MD",1001,Great Deal,Porsche Certified
206,2020 Mercedes-Benz GLE 450 Base,51795,4.2,343,35672,"Devon, PA",0,Great Deal,Mercedes-Benz Certified
207,2019 Toyota RAV4 Hybrid XSE,28389,3.9,451,76930,"Chicago, IL",557,Good Deal,Toyota Certified
208,2018 Toyota Highlander Hybrid LE,32877,4.9,1770,52630,"Matteson, IL",1118,Fair Deal,Toyota Certified
209,2023 Acura MDX A-Spec,50500,4.7,1842,7902,"Palatine, IL",193,Great Deal,Acura Certified
210,2022 Acura RDX Technology Package,30997,2.9,544,44925,"Milford, CT",2480,Good Deal,Acura Certified
211,2020 Toyota Tacoma SR,31647,4.7,1145,28271,"Milford, MA",331,Good Deal,Toyota Certified
212,2019 Toyota RAV4 Hybrid XSE,28389,3.9,451,76930,"Chicago, IL",557,Good Deal,Toyota Certified
213,2021 Nissan Armada SV,26977,4.7,486,65208,"Surprise, AZ",500,Good Deal,Nissan Certified
214,2023 BMW X6 xDrive40i,63426,4.2,881,19168,"Nashua, NH",769,Great Deal,BMW Certified
215,2020 Audi Q7 55 Premium,39993,4.9,1409,22826,"Vienna, VA",2001,Great Deal,Audi Certified
216,2022 Honda CR-V EX-L,26301,2.9,1668,44354,"Florence, KY",1971,Good Deal,Honda Certified
217,2023 Toyota 4Runner Limited,51382,4.4,1683,4058,"Burnsville, MN",147,Fair Deal,Toyota Certified
218,2022 BMW X5 xDrive40i,57885,5.0,4761,21518,"Flemington, NJ",0,Good Deal,BMW Certified
219,2021 Mercedes-Benz AMG GLE 53 Base,71988,4.8,747,36093,"Tiverton, RI",2000,Good Deal,Mercedes-Benz Certified
220,2023 Subaru Ascent Touring 7-Passenger,42404,0,20,4336,"Brockport, NY",300,Good Deal,Subaru Certified
221,2020 BMW i8 Base,98995,4.4,545,13577,"Los Angeles, CA",1000,Fair Deal,BMW Certified
222,2019 Nissan Titan SV,32899,4.9,805,8765,"Beavercreek, OH",977,Good Deal,Nissan Certified
223,2021 Volkswagen Atlas 2.0T SE,24360,4.9,504,55018,"North Haven, CT",593,Great Deal,Volkswagen Certified
224,2020 Toyota Tacoma SR5,29285,2.9,536,73454,"Cincinnati, OH",200,Good Deal,Toyota Certified
225,2023 Porsche Macan T,62900,4.5,363,6639,"Chandler, AZ",600,Good Deal,Porsche Certified
226,2020 Porsche 911 Carrera,108900,4.5,363,12205,"Chandler, AZ",400,Great Deal,Porsche Certified
227,2021 Volvo XC90 Recharge Plug-In Hybrid T8 Inscription 6 Passenger,51977,4.1,77,27873,"Madison, WI",1995,Good Deal,Volvo Certified
228,2020 Volvo V60 T5 Momentum,29990,4.9,625,28961,"Miami, FL",0,Good Deal,Volvo Certified
229,2019 Porsche 911 Turbo S,210998,4.8,268,8440,"Indianapolis, IN",978,CPO Warrantied,Porsche Certified
230,2020 Mercedes-Benz GLS 450 Base 4MATIC,47630,4.5,861,49298,"Long Island City, NY",0,Great Deal,Mercedes-Benz Certified
231,2022 Acura RDX Technology Package,30997,2.9,544,44925,"Milford, CT",2480,Good Deal,Acura Certified
232,2022 Bentley Flying Spur V8,219000,2.6,174,4847,"Palmyra, NJ",0,Good Deal,Bentley Certified
233,2021 Genesis G70 2.0T,30977,0,2,931,"Fairfield, CT",3000,Good Deal,Genesis Certified
234,2023 BMW X5 M50i,81800,0,15,5729,"Shelby Township, MI",3200,Good Deal,BMW Certified
235,2022 Honda CR-V EX-L,26301,2.9,1668,44354,"Florence, KY",1971,Good Deal,Honda Certified
236,2023 Toyota 4Runner Limited,51382,4.4,1683,4058,"Burnsville, MN",147,Fair Deal,Toyota Certified
237,2022 BMW X5 xDrive40i,57885,5.0,4761,21518,"Flemington, NJ",0,Good Deal,BMW Certified
